cntr_tm,open,high,low,close,volume
20260623105900,200905,201115,200475,200815,6778
20260623110000,200850,201490,200600,200600,13857
20260623110100,200835,200835,199950,199950,5481
20260623110200,200105,200260,199690,200080,8847
20260623110300,200075,200820,199600,200820,8765
20260623110400,200820,201700,200360,201490,3769
20260623110500,201445,201460,200000,200615,7907
20260623110600,200605,200735,200055,200235,8566
20260623110700,200240,200995,200050,200385,7087
20260623110800,200240,200680,200190,200470,10474
20260623110900,200370,200785,200185,200745,7754
20260623111000,200745,201585,200635,201100,2916
20260623111100,200925,201700,200600,201700,4998
20260623111200,201860,202315,201410,202305,4004
20260623111300,202140,202410,201825,201935,5900
20260623111400,201950,202455,201810,202395,7894
20260623111500,202305,202505,202040,202460,4213
20260623111600,202360,202435,201200,201370,8190
20260623111700,201365,201580,200660,200880,7479
20260623111800,200880,201500,200865,201305,8193
20260623111900,201425,201695,201250,201475,5163
20260623112000,201475,201755,201215,201640,5202
20260623112100,201610,202105,201265,202005,10216
20260623112200,201850,201950,201310,201620,11714
20260623112300,201620,201780,201475,201660,2095
20260623112400,201655,201980,201265,201625,15456
20260623112500,201615,202090,201385,201725,6329
20260623112600,201770,201855,201200,201720,3732
20260623112700,201720,202460,201610,202205,6585
20260623112800,202305,202400,201995,202160,7633
20260623112900,202085,202590,201770,202120,6706
20260623113000,202115,202120,201620,201805,7864
20260623113100,201805,201820,201565,201690,5868
20260623113200,201570,201630,201165,201315,4411
20260623113300,201315,201535,201220,201535,7707
20260623113400,201530,201785,201220,201220,8273
20260623113500,201250,201425,201065,201175,7428
20260623113600,201160,201280,201000,201050,5035
20260623113700,201050,201170,200730,201015,9012
20260623113800,201015,201130,200710,200760,4925
20260623113900,200760,200760,199900,199920,13373
20260623114000,199945,200500,199445,200310,11153
20260623114100,200310,200615,200110,200510,8026
20260623114200,200535,200725,200000,200110,7210
20260623114300,200080,200105,199782,199940,1541
20260623114400,200020,201235,200020,201235,5616
20260623114500,201305,202220,200870,201040,23794
20260623114600,201040,201040,199700,199910,13768
20260623114700,199895,199895,199335,199480,5695
20260623114800,199475,200105,199310,199685,13182
20260623114900,199825,200710,199760,200150,13287
20260623115000,200345,201010,200215,200630,6267
20260623115100,200795,201725,200570,201715,3115
20260623115200,201435,202240,201430,202240,6234
20260623115300,202310,202585,202195,202470,6519
20260623115400,202455,202585,202095,202150,4873
20260623115500,202075,202285,202000,202190,4916
20260623115600,202190,202665,202175,202645,5629
20260623115700,202645,202775,202010,202010,5618
20260623115800,202195,202195,201600,201780,6992
20260623115900,201780,201795,201355,201715,11232
20260623120000,201710,202035,201035,201155,5623
20260623120100,201030,201275,200555,201160,7309
20260623120200,200990,201145,200435,200975,4325
20260623120300,200765,201230,200690,200895,7899
20260623120400,200895,201010,200535,200790,2456
20260623120500,200760,200760,200350,200500,548
20260623120600,200495,200500,200100,200300,7075
20260623120700,200145,200500,200145,200260,5681
20260623120800,200155,200225,199880,199885,6815
20260623120900,199935,200070,199450,199465,6332
