cntr_tm,open,high,low,close,volume
20260623111300,498000,498500,497000,498000,1424
20260623111400,497750,499500,497750,498500,2633
20260623111500,498500,499500,498000,499000,1380
20260623111600,499000,499500,496000,496500,1832
20260623111700,496500,496500,495000,495500,1657
20260623111800,495500,495500,495000,495500,444
20260623111900,495500,496000,495000,495500,1824
20260623112000,495500,496000,495000,495500,1259
20260623112100,495500,497500,495000,497000,867
20260623112200,496500,497500,495500,496500,1671
20260623112300,496500,497000,495500,496000,619
20260623112400,495500,496000,495000,495000,1112
20260623112500,495500,495500,495000,495500,821
20260623112600,495000,495500,494500,495000,804
20260623112700,495000,496000,494500,496000,1236
20260623112800,496000,496000,494500,495000,944
20260623112900,495000,496000,494500,495000,947
20260623113000,495000,495000,494000,494000,2475
20260623113100,494000,494500,493500,494000,2130
20260623113200,493500,494000,493000,493250,1007
20260623113300,493000,493500,492000,492000,2298
20260623113400,492500,493000,492000,492500,1007
20260623113500,492500,494000,492000,493500,1145
20260623113600,493000,494000,493000,494000,511
20260623113700,494000,495000,493000,495000,1112
20260623113800,494000,495000,493500,494000,751
20260623113900,494000,494500,492500,492500,1624
20260623114000,493000,493000,490500,491000,2924
20260623114100,490500,493000,490000,492000,1759
20260623114200,492500,495000,492000,493500,821
20260623114300,493000,494000,492000,493000,616
20260623114400,493000,494000,492500,493500,463
20260623114500,493500,496000,490500,491000,1964
20260623114600,491000,491000,490000,491000,1971
20260623114700,490500,491000,488000,489000,4486
20260623114800,489000,490000,488000,488500,1457
20260623114900,489000,490500,488500,490500,1354
20260623115000,490000,492500,490000,492000,647
20260623115100,491500,494000,491500,493000,785
20260623115200,493000,494000,491500,493500,885
20260623115300,493500,494000,493000,493500,1207
20260623115400,493000,493500,490500,492500,2468
20260623115500,492500,493500,492000,493000,918
20260623115600,493000,493000,492000,492500,1225
20260623115700,492500,493000,491000,491500,1194
20260623115800,491000,491500,489250,489500,1664
20260623115900,489500,489500,488500,489000,1745
20260623120000,489000,489500,486000,486000,3448
20260623120100,486500,487500,486000,486000,1322
20260623120200,486000,486000,483500,485000,3813
20260623120300,485000,486500,484500,486000,898
20260623120400,486000,486500,485000,485500,1951
20260623120500,485000,486500,484500,485000,1105
20260623120600,485000,486500,484500,486000,1695
20260623120700,485500,486500,485000,486000,1055
20260623120800,486000,486500,485000,485000,774
20260623120900,484500,485500,484000,484500,974
20260623121000,484500,485000,483500,484000,2054
20260623121100,484000,484500,482000,482500,1799
20260623121200,482000,483000,482000,482000,407
20260623121400,482000,483500,481500,482750,2696
20260623121500,482750,483000,481500,482500,1738
20260623121600,482500,483000,482000,482500,826
20260623121700,482500,483000,482000,482500,628
20260623121800,482500,483000,482000,482500,820
20260623121900,482000,482500,481000,482000,1309
20260623122000,481500,483000,481000,482000,901
20260623122100,482000,482000,481000,481000,680
20260623122200,481000,481500,480000,481000,2537
20260623122300,480000,481500,479500,480000,5126
20260623122400,480000,481500,479500,481500,2972
20260623122500,481500,481500,480000,480000,1240
20260623122600,480000,482000,480000,482000,1487
20260623122700,482000,482000,480500,481000,662
20260623122800,480500,481500,480000,481000,1773
20260623122900,481000,481500,480000,480000,580
20260623123000,480000,481000,479500,480000,1078
20260623123100,479500,481000,479000,479500,1792
20260623123200,479500,480000,479000,479000,1653
20260623123300,479000,480500,479000,479500,1950
20260623123400,479000,479500,478000,478000,2555
20260623123500,478500,479000,476000,477000,4610
20260623123600,477000,477500,475000,476500,4624
20260623123700,476500,477000,474500,475500,4768
20260623123800,475000,475500,473000,474000,3051
20260623123900,475000,477000,474500,476500,1275
20260623124000,476500,477000,474500,475000,3100
20260623124100,475000,477000,474500,476000,877
20260623124200,476000,477000,475500,476500,1064
20260623124300,476500,477000,475000,475500,1980
20260623124400,475500,477500,475000,477000,1475
20260623124500,476500,478500,476500,477000,1300
20260623124600,476500,478000,476500,476500,2023
20260623124700,476000,477500,476000,477000,1428
20260623124800,477000,477500,476500,477000,766
20260623124900,477000,478500,476500,477500,1295
20260623125000,477000,478500,477000,478500,779
20260623125100,478000,480500,478000,480500,1687
20260623125200,480500,481000,479000,480500,2425
20260623125300,480000,481500,479500,481000,990
20260623125400,480500,481500,480000,481000,2166
20260623125500,480500,481500,478500,481500,2147
20260623125600,481000,483000,480000,481000,1731
20260623125700,481000,482000,479500,480500,911
20260623125800,480500,482000,480000,481500,1391
20260623125900,481500,482000,481000,482000,904
20260623130000,482000,485000,481500,483000,2073
20260623130100,483000,483500,480500,481500,2487
20260623130200,481500,482000,481000,482000,1304
20260623130300,481500,482000,480500,480500,1113
20260623130400,480500,482000,480500,482000,829
20260623130500,482000,482000,481000,482000,1236
20260623130600,481500,482500,481500,482500,1228
20260623130700,482000,483000,481500,482000,1060
20260623130800,481500,483000,481500,482000,1111
20260623130900,482000,482000,480500,481000,2098
20260623131000,481000,481000,480000,481000,1096
20260623131100,481000,482000,480500,481500,887
20260623131200,481000,481500,480500,481000,803
20260623131300,481000,481500,480500,481000,817
20260623131400,481000,481000,480500,480500,385
20260623131500,480500,481000,480000,480500,1143
20260623131600,480000,480500,480000,480500,585
20260623131700,480000,480500,480000,480000,680
20260623131800,480000,481000,480000,481000,1619
20260623131900,481000,481000,480500,481000,700
20260623132000,481000,481000,478500,479000,9567
20260623132100,479000,479000,477500,478000,1988
20260623132200,478000,478000,476500,477000,1368
20260623132300,477000,479000,476500,478500,2431
20260623132400,478500,480500,478000,478500,1210
20260623132500,478500,480000,478500,479500,866
20260623132600,480000,480000,479000,479000,959
20260623132700,479000,479500,479000,479000,1015
20260623132800,479000,479000,478000,478000,925
20260623132900,478000,479000,478000,478000,1392
20260623133000,477500,479500,477500,479000,948
20260623133100,478500,479500,477500,478500,1126
20260623133200,478000,480000,477500,479000,1492
20260623133300,478500,480000,478000,479000,861
20260623133400,479000,479500,478000,478000,1065
20260623133500,478000,478500,477500,477500,948
