cntr_tm,open,high,low,close,volume
20260622142200,395000,396500,395000,395500,250
20260622142300,395500,396000,394500,395000,681
20260622142400,394500,395000,394500,394500,173
20260622142500,395000,395500,394500,395000,230
20260622142600,395000,395500,395000,395500,62
20260622142700,395000,395500,394000,394500,325
20260622142800,394500,395000,394000,394500,222
20260622142900,394000,394500,393500,393500,195
20260622143000,393500,394500,392500,392500,290
20260622143100,392500,394500,392500,392500,443
20260622143200,392500,394000,391500,392000,532
20260622143300,392500,393500,392000,392000,163
20260622143400,392500,392500,391500,391500,287
20260622143500,393000,393500,391500,392500,200
20260622143600,392500,394000,391000,393000,304
20260622143700,393000,394000,392500,394000,226
20260622143800,394000,394000,392500,393000,281
20260622143900,393000,393000,392000,392500,214
20260622144000,392000,393000,391000,392500,644
20260622144100,392000,393500,391500,391500,391
20260622144200,392000,393000,391500,392000,191
20260622144300,392000,392500,391500,391500,153
20260622144400,391500,393000,391000,392500,372
20260622144500,393000,393000,391500,391500,206
20260622144600,391500,393500,391500,392000,392
20260622144700,392000,392500,391500,391500,359
20260622144800,391500,392000,391500,391500,124
20260622144900,391500,392500,391500,392000,218
20260622145000,391500,392000,391500,391500,164
20260622145100,391500,392000,391000,391500,326
20260622145200,391500,393000,391000,391000,524
20260622145300,391000,393000,391000,392000,230
20260622145400,391500,393000,391000,391500,474
20260622145500,392500,393500,391500,393500,521
20260622145600,392500,393000,391500,392000,311
20260622145700,392000,392500,392000,392000,109
20260622145800,392000,393000,392000,392000,325
20260622145900,392000,393500,392000,392000,341
20260622150000,392000,393500,392000,392500,192
20260622150100,392000,393000,391500,392000,341
20260622150200,392000,393000,391500,392500,224
20260622150300,392500,393500,392500,393000,97
20260622150400,393000,394000,392000,393500,689
20260622150500,392500,394000,392500,393000,125
20260622150600,393500,394500,393500,393500,175
20260622150700,393500,394500,393500,394500,119
20260622150800,393500,395000,393500,394500,267
20260622150900,394000,395000,394000,394000,215
20260622151000,394000,394500,394000,394000,125
20260622151100,394000,394000,392500,393000,375
20260622151200,393000,394000,392000,393500,263
20260622151300,393000,394000,393000,393500,135
20260622151400,393500,394500,393000,394000,239
20260622151500,393500,394000,393000,393000,192
20260622151600,393000,393500,393000,393500,287
20260622151700,393000,394000,393000,394000,292
20260622151800,393500,394500,393500,393500,148
20260622151900,394000,395000,392500,394000,629
20260622153000,394000,394000,394000,394000,4135
20260622153500,394000,394000,394000,394000,3
20260623105900,378500,378500,376500,377500,429
20260623110000,377500,378500,376500,377000,685
20260623110100,376500,378000,375500,376000,1211
20260623110200,376000,376000,375000,376000,368
20260623110300,375500,376500,375000,376000,627
20260623110400,376000,377500,375500,377000,349
20260623110500,376500,377000,375000,375000,590
20260623110600,374500,375500,374500,375000,627
20260623110700,374500,375500,374000,375000,656
20260623110800,374500,376000,373500,375500,634
20260623110900,375500,376000,374500,376000,438
20260623111000,375000,376500,374000,374000,836
20260623111100,374000,376000,374000,375500,458
20260623111200,375500,377000,375000,376500,413
20260623111300,376500,377000,376000,376500,400
20260623111400,377000,378500,376500,378000,599
20260623111500,378000,378500,377500,377500,278
20260623111600,377500,378000,375500,375500,763
20260623111700,375500,376500,375500,375500,551
20260623111800,375500,377000,375500,376500,390
20260623111900,376000,377000,376000,376500,316
20260623112000,376500,376500,375500,376000,358
20260623112100,376500,377000,375500,376000,587
20260623112200,376000,376500,375000,376500,411
20260623112300,376000,376000,374500,375000,325
20260623112400,375000,376000,374500,375000,608
20260623112500,375000,376000,374500,375500,289
20260623112600,375500,376000,375000,375500,151
20260623112700,375500,376000,375000,376000,387
20260623112800,375500,376000,374500,375000,380
20260623112900,374500,376500,374500,375000,471
20260623113000,375000,376000,375000,375000,319
20260623113100,375500,375500,374500,375000,152
20260623113200,375000,375500,374500,374500,269
20260623113300,375500,375500,374500,375000,354
20260623113400,375000,377000,375000,375500,439
20260623113500,375500,376500,375000,376500,294
20260623113600,375500,376500,375500,375500,149
20260623113700,376000,377000,375500,376000,456
20260623113800,376500,377000,375500,376000,401
20260623113900,376500,376500,375500,376000,317
20260623114000,376000,376000,375000,376000,400
20260623114100,376500,376500,375500,376500,369
20260623114200,376500,377000,375500,375500,480
20260623114300,375500,376000,375000,376000,198
20260623114400,376000,376500,375500,375500,382
20260623114500,376500,378000,375000,375500,2023
20260623114600,375500,375500,374000,375000,802
20260623114700,374500,375000,374000,374500,257
20260623114800,374000,374500,373500,374500,511
20260623114900,374500,375000,374000,375000,330
20260623115000,375500,376500,374000,376500,332
20260623115100,376500,377000,375500,377000,575
20260623115200,376500,378000,376500,377500,211
20260623115300,378000,380000,378000,379500,263
20260623115400,379500,380000,378500,379000,393
20260623115500,379000,380500,379000,379500,407
20260623115600,379500,380500,379500,380000,187
20260623115700,380000,381000,378500,379000,205
20260623115800,379000,379000,378000,378500,272
20260623115900,379000,379000,377500,378000,203
20260623120000,377500,378500,377000,377000,345
20260623120100,377000,377500,375500,375500,423
20260623120200,376500,377000,375500,375500,148
20260623120300,376000,376500,375500,376000,275
20260623120400,375500,376500,375000,375500,232
20260623120500,375500,376000,375000,375500,178
20260623120600,375500,375500,374500,375000,325
20260623120700,374500,375000,374000,374000,210
20260623120800,374500,375000,374000,374500,747
20260623120900,374500,375000,373500,373500,314
20260623121000,374000,374500,373500,374000,296
20260623121100,373500,374500,373000,374000,380
20260623121200,373500,374500,373500,373500,213
20260623121300,373500,374500,373500,373500,121
