cntr_tm,open,high,low,close,volume
20260623105900,142150,142150,141780,141890,28251
20260623110000,141885,142255,141700,141720,17872
20260623110100,141755,141765,141300,141475,16026
20260623110200,141475,141600,141255,141440,4705
20260623110300,141470,141805,141200,141800,121155
20260623110400,141865,142265,141625,142025,19548
20260623110500,142025,142070,141340,141400,32300
20260623110600,141390,141555,141145,141200,23630
20260623110700,141200,141695,141170,141320,36629
20260623110800,141340,141500,141175,141335,13660
20260623110900,141325,141550,141190,141480,9307
20260623111000,141515,141955,141437,141605,51082
20260623111100,141600,141995,141375,141975,23672
20260623111200,141955,142335,141800,142175,40228
20260623111300,142215,142355,141990,142025,12701
20260623111400,142055,142350,141955,142195,53412
20260623111500,142195,142360,142120,142325,6029
20260623111600,142350,142350,141640,141680,27761
20260623111700,141695,141825,141385,141520,29397
20260623111800,141520,141870,141440,141800,6556
20260623111900,141840,142090,141700,141960,22461
20260623112000,141955,142075,141815,142000,38697
20260623112100,142000,142400,141780,142300,42112
20260623112200,142285,142300,141890,142020,77409
20260623112300,142020,142045,141885,142010,21518
20260623112400,141985,142195,141740,141900,19658
20260623112500,141905,142200,141905,141990,21612
20260623112600,142050,142095,141860,142070,9508
20260623112700,142140,142495,142100,142320,34971
20260623112800,142370,142445,142145,142360,33631
20260623112900,142365,142520,142095,142215,10419
20260623113000,142265,142335,141990,142025,12712
20260623113100,142025,142100,141900,141940,3531
20260623113200,141930,141930,141770,141840,23753
20260623113300,141800,141895,141715,141895,35587
20260623113400,141895,142045,141710,141770,22690
20260623113500,141770,142000,141750,141857,6068
20260623113600,141870,141935,141800,141820,14216
20260623113700,141820,142030,141655,141995,28170
20260623113800,141975,141975,141655,141690,15643
20260623113900,141655,141690,141320,141425,38818
20260623114000,141370,141720,141190,141665,19670
20260623114100,141672,141775,141555,141680,63387
20260623114200,141685,141805,141320,141330,12952
20260623114300,141365,141400,141170,141250,38707
20260623114400,141250,141850,141235,141830,16786
20260623114500,141795,142425,141760,141995,37689
20260623114600,141965,142000,141160,141225,29304
20260623114700,141250,141250,140955,140990,17433
20260623114800,141000,141500,140975,141280,5810
20260623114900,141315,141800,141315,141705,82538
20260623115000,141695,142000,141570,141875,7482
20260623115100,141945,142360,141945,142290,27001
20260623115200,142280,142870,142280,142870,27533
20260623115300,142790,142890,142645,142800,23525
20260623115400,142800,142800,142490,142530,15285
20260623115500,142545,142620,142440,142500,12102
20260623115600,142505,142920,142505,142805,13783
20260623115700,142795,142900,142420,142470,13067
20260623115800,142420,142465,142100,142145,9052
20260623115900,142170,142220,141975,142115,4955
20260623120000,142070,142240,141670,141670,10810
20260623120100,141670,141720,141450,141575,24755
20260623120200,141575,141610,141120,141405,143424
20260623120300,141465,141650,141340,141415,10579
20260623120400,141415,141505,141300,141350,3573
20260623120500,141350,141350,141105,141195,14874
20260623120600,141195,141195,140900,141125,38025
20260623120700,141120,141250,141080,141175,18279
20260623120800,141160,141160,140910,140920,31733
20260623120900,140905,140920,140700,140765,21099
