cntr_tm,open,high,low,close,volume
20260622142200,131500,131700,130900,131200,15171
20260622142300,131200,131200,130700,130800,4796
20260622142400,130800,131100,130700,130900,4680
20260622142500,131000,131600,130800,131500,10483
20260622142600,131400,131500,131200,131300,6649
20260622142700,131400,131500,131200,131400,7528
20260622142800,131300,131600,131300,131500,14974
20260622142900,131550,131800,131500,131800,11478
20260622143000,131750,131900,131000,131100,23151
20260622143100,131000,131400,130700,131400,6502
20260622143200,131300,131400,131100,131200,5271
20260622143300,131300,131300,131100,131200,4403
20260622143400,131300,131500,131100,131500,6943
20260622143500,131500,132200,131400,132100,22078
20260622143600,132200,132300,131800,131900,13368
20260622143700,131900,132100,131800,132000,7280
20260622143800,132100,132200,131600,131600,10002
20260622143900,131700,131700,131000,131000,9188
20260622144000,131000,131400,131000,131300,6740
20260622144100,131300,131400,131000,131200,6664
20260622144200,131100,131200,130500,131000,16912
20260622144300,130950,131100,130600,130800,6170
20260622144400,130700,131100,130700,131000,6075
20260622144500,131000,131400,131000,131300,4358
20260622144600,131400,131400,131100,131200,7776
20260622144700,131300,131500,131200,131500,5008
20260622144800,131400,131500,131300,131350,6707
20260622144900,131350,131400,131300,131300,5223
20260622145000,131200,132100,131200,132100,17338
20260622145100,132050,132200,131800,132000,15506
20260622145200,132000,132200,131900,132000,10726
20260622145300,132100,132300,131900,132300,16686
20260622145400,132300,132300,131900,131900,9557
20260622145500,132000,132000,131700,131900,9076
20260622145600,131900,132100,131800,132100,6400
20260622145700,132100,132700,132000,132500,29584
20260622145800,132500,132600,132100,132300,17285
20260622145900,132400,132400,132200,132400,6618
20260622150000,132400,133100,132300,133000,45174
20260622150100,133100,133700,133000,133700,36193
20260622150200,133600,133800,133400,133700,20804
20260622150300,133700,133900,133300,133300,24396
20260622150400,133300,133700,133100,133500,23167
20260622150500,133600,133600,132900,133500,20537
20260622150600,133600,133900,133400,133900,17816
20260622150700,133900,133900,133700,133900,17372
20260622150800,133850,134000,133500,133600,17993
20260622150900,133600,133700,133300,133600,15037
20260622151000,133600,134000,133500,134000,15601
20260622151100,134000,134900,133900,134900,52208
20260622151200,134800,135000,134500,135000,32290
20260622151300,134900,135000,134500,134600,32490
20260622151400,134600,134700,134500,134600,27522
20260622151500,134600,134700,133900,134100,38556
20260622151600,134200,134500,134100,134300,15693
20260622151700,134300,134300,134100,134300,22026
20260622151800,134200,134300,134000,134100,23599
20260622151900,134200,134300,133600,133600,59042
20260622153000,134000,134000,134000,134000,92746
20260622153500,134000,134000,134000,134000,17825
20260623090000,133300,133300,128500,128800,190191
20260623105900,118700,118700,118200,118400,6411
20260623110000,118500,118700,118000,118200,11591
20260623110100,118100,118200,117300,117400,22696
20260623110200,117500,117700,117300,117400,10057
20260623110300,117500,117900,117300,117600,12404
20260623110400,117900,118700,117900,118700,9508
20260623110500,118700,118700,117650,117800,6761
20260623110600,117700,118000,117600,118000,5576
20260623110700,117900,118200,117800,118000,7002
20260623110800,118000,118100,117700,118000,5879
20260623110900,117900,118000,117700,117900,4199
