cntr_tm,open,high,low,close,volume
20260623134500,51340,51400,51270,51280,96429
20260623134600,51270,51310,51230,51230,68625
20260623134700,51230,51240,51195,51240,90786
20260623134800,51250,51295,51190,51190,95135
20260623134900,51210,51215,51170,51205,63118
20260623135000,51205,51205,51140,51140,57794
20260623135100,51140,51160,51095,51095,119142
20260623135200,51100,51170,51100,51140,77259
20260623135300,51140,51200,51065,51170,194008
20260623135400,51170,51170,51065,51065,33803
20260623135500,51070,51070,51005,51010,102684
20260623135600,51020,51035,50965,50985,161025
20260623135700,50980,51095,50950,51020,93060
20260623135800,51010,51035,50935,51002,79534
20260623135900,51002,51010,50860,50875,110664
20260623140000,50875,51035,50860,51015,97801
20260623140100,51015,51040,50875,50960,78161
20260623140200,50970,51100,50925,51050,62274
20260623140300,51050,51220,51010,51175,76755
20260623140400,51185,51255,51155,51210,68831
20260623140500,51210,51210,51075,51120,85300
20260623140600,51135,51185,51020,51060,50355
20260623140700,51080,51115,50895,50915,55755
20260623140800,50915,50950,50790,50830,97038
20260623140900,50830,50900,50820,50865,28577
20260623141000,50865,50935,50850,50900,36988
20260623141100,50890,50940,50815,50880,41174
20260623141200,50890,50920,50775,50800,90238
20260623141300,50800,50800,50700,50710,69380
20260623141400,50710,50750,50640,50640,40651
20260623141500,50640,50740,50580,50710,102401
20260623141600,50685,50750,50585,50610,53197
20260623141700,50600,50665,50580,50610,46979
20260623141800,50610,50610,50540,50545,84029
20260623141900,50555,50595,50515,50550,98600
20260623142000,50550,50755,50535,50680,87021
20260623142100,50670,50745,50545,50575,78958
20260623142200,50560,50590,50445,50470,119253
20260623142300,50465,50550,50465,50550,42191
20260623142400,50550,50550,50450,50490,77557
20260623142500,50490,50600,50435,50455,125179
20260623142600,50480,50500,50420,50445,38825
20260623142700,50450,50810,50380,50410,182571
20260623142800,50430,50515,50355,50430,79924
20260623142900,50430,50430,50335,50345,70522
20260623143000,50335,50360,50295,50305,70225
20260623143100,50305,50305,50225,50245,146985
20260623143200,50245,50305,50030,50030,224382
20260623143300,50055,50160,50015,50090,111573
20260623150400,50085,50320,50065,50065,293000
20260623150500,50085,50190,50005,50090,168578
20260623150600,50090,50100,49785,49870,199341
20260623150700,49820,49885,49500,49550,170996
20260623150800,49570,49645,49485,49635,195590
20260623150900,49580,49680,49365,49375,216947
20260623151000,49365,49415,49220,49265,162647
20260623151100,49235,49360,49195,49215,96309
20260623151200,49230,49335,49150,49210,159859
20260623151300,49200,49230,49000,49030,256300
20260623151400,49020,49300,49020,49300,143652
20260623151500,49290,49600,49260,49600,70564
20260623151600,49600,49670,49415,49460,94622
20260623151700,49445,49485,49355,49375,66030
20260623151800,49375,49410,49335,49395,36376
