cntr_tm,open,high,low,close,volume
20260623111400,2037000,2042000,2036000,2042000,1827
20260623111500,2042000,2044000,2039000,2043000,1751
20260623111600,2044000,2044000,2033000,2034000,3514
20260623111700,2034000,2035000,2025000,2028000,2899
20260623111800,2030000,2036000,2027000,2032000,2456
20260623111900,2033000,2037000,2030000,2036000,1196
20260623112000,2036000,2040000,2032000,2040000,1189
20260623112100,2039500,2045000,2036000,2044000,1719
20260623112200,2044000,2044000,2036000,2040000,1264
20260623112300,2040000,2044000,2040000,2043000,950
20260623112400,2043000,2048000,2042000,2046000,1982
20260623112500,2046000,2049000,2045000,2046000,1248
20260623112600,2047000,2048000,2041000,2048000,2801
20260623112700,2048000,2053000,2046000,2051000,1922
20260623112800,2051000,2052000,2045000,2047000,1779
20260623112900,2046000,2053000,2046000,2052000,1906
20260623113000,2052000,2052000,2048000,2048000,1506
20260623113100,2049000,2050000,2046000,2047000,1454
20260623113200,2047000,2047000,2040000,2041000,2108
20260623113300,2041000,2044000,2039000,2043000,1754
20260623113400,2043000,2047000,2038000,2038000,1778
20260623113500,2037000,2038000,2033000,2034000,2125
20260623113600,2034000,2035000,2031000,2032000,1418
20260623113700,2032000,2032000,2026000,2030000,2429
20260623113800,2030000,2030000,2025000,2025000,1680
20260623113900,2025000,2027000,2022000,2022000,1920
20260623114000,2022000,2027000,2018000,2026000,3816
20260623114100,2025000,2028000,2022000,2024000,1856
20260623114200,2024000,2029000,2022000,2022000,1323
20260623114300,2022000,2024000,2021000,2023000,2029
20260623114400,2023000,2033000,2021000,2032000,2092
20260623114500,2032000,2041000,2028000,2031000,2417
20260623114600,2031000,2031000,2021000,2022000,2759
20260623114700,2022000,2024000,2020000,2021000,1207
20260623114800,2021000,2029000,2021000,2025000,1834
20260623114900,2024000,2034000,2023000,2030000,2376
20260623115000,2029000,2036000,2024000,2029000,1504
20260623115100,2028000,2040000,2028000,2038000,1748
20260623115200,2037000,2053000,2037000,2052000,2961
20260623115300,2052000,2053000,2049000,2053000,1255
20260623115400,2053000,2055000,2052000,2055000,2006
20260623115500,2054000,2057000,2053000,2055000,1318
20260623115600,2054000,2058000,2054000,2058000,1251
20260623115700,2057000,2060000,2054000,2055000,1578
20260623115800,2055000,2058000,2052000,2057000,1953
20260623115900,2057000,2060000,2055000,2059000,909
