cntr_tm,open,high,low,close,volume
20260622142200,15880,15890,15860,15860,12016
20260622142300,15860,15880,15850,15850,8167
20260622142400,15850,15860,15810,15820,12987
20260622142500,15820,15840,15800,15830,15786
20260622142600,15840,15850,15830,15840,3452
20260622142700,15835,15850,15830,15840,6116
20260622142800,15840,15880,15830,15870,9105
20260622142900,15870,15950,15870,15920,6448
20260622143000,15900,15920,15870,15890,17841
20260622143100,15890,15890,15820,15830,7140
20260622143200,15830,15830,15820,15830,3891
20260622143300,15830,15830,15820,15820,2798
20260622143400,15820,15850,15810,15840,4554
20260622143500,15840,15880,15830,15880,12658
20260622143600,15880,15890,15850,15860,2974
20260622143700,15880,15880,15850,15870,3935
20260622143800,15860,15860,15840,15850,2625
20260622143900,15850,15850,15820,15820,8692
20260622144000,15830,15840,15820,15830,5492
20260622144100,15830,15860,15830,15860,5835
20260622144200,15870,15870,15850,15850,8446
20260622144300,15850,15860,15820,15830,7972
20260622144400,15820,15840,15820,15830,6320
20260622144500,15830,15830,15810,15820,6095
20260622144600,15820,15820,15800,15800,9038
20260622144700,15810,15820,15800,15810,8256
20260622144800,15810,15810,15800,15800,19902
20260622144900,15810,15810,15800,15810,6147
20260622145000,15810,15810,15800,15810,9799
20260622145100,15800,15810,15790,15800,5805
20260622145200,15800,15800,15760,15770,18262
20260622145300,15770,15780,15760,15770,4873
20260622145400,15770,15780,15760,15780,11474
20260622145500,15770,15840,15770,15840,15134
20260622145600,15840,15880,15830,15880,10952
20260622145700,15890,15910,15850,15890,18673
20260622145800,15890,15900,15820,15850,11131
20260622145900,15850,15860,15820,15860,3936
20260622150000,15860,15880,15850,15870,14852
20260622150100,15860,15880,15850,15860,8050
20260622150200,15860,15870,15850,15870,7318
20260622150300,15870,15880,15860,15880,3773
20260622150400,15880,15930,15870,15930,14349
20260622150500,15930,15940,15900,15930,7833
20260622150600,15930,15930,15900,15910,7370
20260622150700,15910,15910,15890,15900,7611
20260622150800,15900,15900,15880,15880,8567
20260622150900,15880,15900,15870,15880,7214
20260622151000,15880,15920,15880,15920,18391
20260622151100,15920,15930,15880,15890,18777
20260622151200,15900,15900,15870,15890,24381
20260622151300,15890,15890,15870,15880,13192
20260622151400,15880,15880,15830,15850,42704
20260622151500,15860,15870,15850,15860,8174
20260622151600,15860,15870,15850,15860,5435
20260622151700,15850,15870,15840,15870,28074
20260622151800,15860,15870,15860,15870,7789
20260622151900,15870,15880,15860,15880,37246
20260622153000,15900,15900,15900,15900,66816
20260622153500,15900,15900,15900,15900,11689
20260623090000,16200,16500,16200,16400,188769
20260623105900,14580,14620,14580,14620,68284
20260623110000,14620,14640,14600,14610,31643
20260623110100,14600,14600,14510,14540,87779
20260623110200,14540,14580,14530,14570,21128
20260623110300,14570,14650,14570,14600,47508
20260623110400,14600,14640,14580,14620,23277
20260623110500,14620,14630,14570,14570,23763
20260623110600,14570,14590,14550,14550,22697
20260623110700,14550,14590,14530,14570,31591
20260623110800,14570,14570,14520,14540,16950
20260623110900,14540,14570,14530,14560,25919
20260623111000,14560,14630,14550,14600,43475
20260623111100,14590,14610,14560,14580,14880
20260623111200,14580,14610,14580,14600,27379
20260623111300,14610,14640,14600,14630,19803
20260623111400,14630,14700,14610,14690,36821
20260623111500,14690,14730,14680,14730,35721
20260623111600,14720,14740,14620,14620,21089
20260623111700,14620,14650,14580,14580,28454
20260623111800,14590,14700,14580,14690,29039
20260623111900,14700,14700,14650,14690,6872
20260623112000,14690,14700,14680,14700,9898
20260623112100,14690,14730,14690,14720,31519
20260623112200,14720,14740,14720,14730,12864
20260623112300,14730,14730,14710,14710,17983
20260623112400,14710,14730,14690,14700,14340
20260623112500,14700,14700,14670,14680,7358
20260623112600,14680,14690,14670,14680,5556
20260623112700,14680,14750,14670,14750,21353
20260623112800,14740,14770,14740,14770,18818
20260623112900,14760,14800,14760,14800,16691
20260623113000,14800,14820,14770,14800,15843
20260623113100,14800,14800,14750,14750,12319
20260623113200,14750,14760,14720,14730,12061
20260623113300,14720,14740,14710,14720,18460
20260623113400,14740,14770,14720,14770,14961
20260623113500,14760,14800,14720,14790,9065
20260623113600,14790,14790,14750,14790,4556
20260623113700,14790,14820,14770,14790,11296
20260623113800,14830,14830,14790,14820,2838
20260623113900,14820,14830,14820,14820,8603
20260623114000,14820,14850,14820,14850,9713
20260623114100,14850,14890,14840,14890,21842
20260623114200,14880,14890,14810,14850,21325
20260623114300,14850,14850,14720,14740,12224
20260623114400,14720,14740,14710,14730,9459
20260623114500,14730,14770,14730,14750,18086
20260623114600,14750,14770,14670,14690,28473
20260623114700,14690,14690,14610,14620,17234
20260623114800,14610,14630,14610,14610,9528
20260623114900,14620,14650,14610,14640,7312
