cntr_tm,open,high,low,close,volume
20260622142200,353500,354500,353500,353750,50684
20260622142300,353500,354000,353500,354000,16438
20260622142400,353500,354500,353500,354000,32715
20260622142500,354000,355000,354000,354500,59947
20260622142600,354500,354750,353500,354000,55418
20260622142700,354000,354500,353500,354000,33753
20260622142800,354000,354500,354000,354250,17852
20260622142900,354250,354500,354000,354000,19334
20260622143000,354000,354500,352500,353000,103674
20260622143100,352500,353500,352500,353000,28921
20260622143200,353500,353500,352000,353000,34098
20260622143300,353000,353500,352500,352500,24090
20260622143400,352500,353000,352500,353000,9331
20260622143500,352500,354000,352500,353750,44170
20260622143600,353500,354000,353500,353750,22800
20260622143700,354000,354500,353500,354250,23351
20260622143800,354000,354500,353500,354000,39284
20260622143900,354000,354000,353000,353500,74158
20260622144000,353500,354000,353000,353500,50033
20260622144100,353500,354000,353500,353750,12642
20260622144200,353500,354000,353000,353750,45270
20260622144300,353500,353750,353000,353500,26922
20260622144400,353000,354000,353000,353750,28902
20260622144500,353750,354000,353500,354000,19362
20260622144600,354000,354000,353500,353500,19362
20260622144700,353500,354000,353000,353500,24728
20260622144800,353000,353500,353000,353500,19668
20260622144900,353500,353500,353000,353250,18376
20260622145000,353250,353500,353000,353000,13976
20260622145100,353250,353250,352500,352750,46830
20260622145200,353000,353000,352000,352000,34066
20260622145300,352250,352500,352000,352500,25253
20260622145400,352250,353500,352250,353250,62868
20260622145500,353250,353500,353000,353000,29939
20260622145600,353250,353500,352500,353000,34654
20260622145700,353000,353250,352500,353000,29609
20260622145800,353000,353000,352000,352500,27255
20260622145900,352500,352500,352000,352000,22588
20260622150000,352000,352500,352000,352000,20558
20260622150100,352250,352250,351000,351500,90941
20260622150200,351500,352500,351000,352250,36014
20260622150300,352250,353000,352000,352500,22971
20260622150400,353000,353500,352500,353000,35336
20260622150500,353000,353500,353000,353500,35288
20260622150600,353000,354000,353000,353500,53369
20260622150700,353500,353500,353000,353500,16047
20260622150800,353500,353500,353000,353500,24285
20260622150900,353500,354000,353000,353750,51885
20260622151000,353750,354000,353500,353500,28649
20260622151100,353750,353750,353000,353500,35643
20260622151200,353250,353500,352500,352500,63239
20260622151300,352750,353000,352500,352500,19249
20260622151400,352500,353000,352500,353000,31664
20260622151500,353000,353000,352000,353000,77320
20260622151600,352500,353000,352500,352750,20300
20260622151700,352750,353000,352000,353000,94819
20260622151800,352500,353000,352500,353000,31968
20260622151900,353000,353000,352000,352500,51582
20260622153000,353500,353500,353500,353500,2208181
20260622153500,353500,353500,353500,353500,6662
20260623090000,347500,353000,347500,349500,1331269
20260623090100,349500,350500,348000,348500,296253
20260623090200,348500,350000,347500,349000,271720
20260623090300,349000,350500,348500,350000,159154
20260623090400,350000,352500,350000,352000,239386
20260623090500,352000,352000,350500,351500,205613
20260623090600,351500,351500,349000,349000,215763
20260623090700,349000,351000,349000,350500,250257
20260623090800,350500,351500,350000,350500,101884
20260623090900,350750,352000,350500,351250,111744
20260623091000,351250,352500,351000,352000,93955
20260623091100,352000,352500,351000,351250,134786
20260623091200,351250,352500,350000,351500,227641
20260623091300,351500,353000,351000,351500,114985
20260623091400,351000,351500,349500,349750,154376
20260623091500,349500,351500,349500,351000,158343
20260623091600,351000,351250,349000,349500,100531
20260623091700,349000,350000,348000,349500,202641
20260623091800,349000,349500,348000,349000,98142
20260623091900,349000,349500,348500,349000,59884
20260623092000,349000,349000,347500,347500,100314
20260623092100,347500,348500,346000,346500,287369
20260623092200,346250,347250,345000,345000,326782
20260623092300,345000,346000,344000,344250,225712
20260623092400,344250,344500,340000,340500,491863
20260623092500,340500,343000,338000,341000,591353
20260623092600,340500,350000,339000,341000,464639
20260623092700,341000,342000,339000,340000,246245
20260623092800,340000,343000,338500,341000,228721
20260623092900,340500,343500,340000,342500,149350
20260623093000,342500,345000,340000,342000,187711
20260623093100,342000,344000,341500,343500,132575
20260623093200,343500,345000,343000,344500,101586
20260623093300,344500,346000,343000,344000,157224
20260623093400,344000,344500,342500,344000,88561
20260623093500,344000,345000,342000,342500,125764
20260623093600,342500,342500,341000,341500,50121
20260623093700,341500,342000,341000,341500,48610
20260623093800,341000,343000,341000,343000,111668
20260623093900,343000,343500,342000,343500,63232
20260623094000,343500,345000,343000,345000,68034
20260623094100,345000,345000,343000,344500,64224
20260623094200,344500,345000,344000,345000,54977
20260623094300,345000,345500,344500,345500,42495
20260623094400,345500,346500,345000,346500,60643
20260623094500,346000,347000,346000,347000,68884
20260623094600,347000,347500,345500,346000,94412
20260623094700,345500,346500,345000,346000,51989
20260623094800,346000,347000,345500,346000,62060
20260623094900,346500,346500,346000,346500,25815
20260623095000,346500,346500,345000,345500,62005
20260623095100,345500,346500,344000,344000,109789
20260623095200,344000,345000,343500,344000,63302
20260623095300,344250,345000,344000,344500,28040
20260623095400,344500,345000,343500,344000,54599
20260623095500,344000,344000,343000,343000,63774
20260623095600,343500,343500,341000,342000,155129
20260623095700,342000,344000,341500,343500,96091
20260623095800,343750,344000,343000,343000,56785
20260623095900,343000,343500,342000,343000,53387
20260623100000,343250,344000,342000,342500,64555
20260623100100,342500,342500,342000,342500,35363
20260623100200,342000,343500,342000,342500,56628
20260623100300,343000,344500,342500,344000,77870
20260623100400,344250,344500,342500,343000,57380
20260623100500,343000,344000,342500,343500,46569
20260623100600,343500,343500,342000,342500,59199
20260623100700,342000,342500,342000,342250,43722
20260623100800,342500,344000,342250,343500,76035
20260623100900,343500,344500,342500,343500,61915
20260623101000,343500,344500,343500,344500,46582
20260623101100,344500,345500,344000,345000,86016
20260623101200,345000,346000,344500,346000,66955
20260623101300,346000,346000,344500,344750,62671
20260623101400,344750,345500,344000,344500,51810
20260623101500,344250,345000,343500,344000,65881
20260623101600,344000,344000,342500,342750,60859
20260623101700,342750,342750,342000,342250,36714
