cntr_tm,open,high,low,close,volume
20260623105900,1988000,1993000,1980000,1988000,6049
20260623110000,1989000,2004000,1988000,1991000,9949
20260623110100,1991000,1991000,1977000,1981000,7171
20260623110200,1982000,1984000,1970000,1980000,9454
20260623110300,1979000,1988000,1970000,1986000,7146
20260623110400,1988000,2004000,1986000,2000000,6529
20260623110500,2000000,2001000,1988000,1990000,5343
20260623110600,1990000,1990000,1981000,1987000,3315
20260623110700,1987000,1999000,1985000,1988500,4588
20260623110800,1989000,1993000,1988000,1990000,3930
20260623110900,1989000,1994000,1987000,1993000,3308
20260623111000,1994000,2004000,1993000,1998000,6384
20260623111100,1996000,2015000,1991000,2015000,4541
20260623111200,2016000,2023000,2007000,2020000,8687
20260623111300,2019000,2023000,2015000,2017000,8029
20260623111400,2017000,2021000,2013000,2019000,5832
20260623111500,2018000,2023000,2015000,2017000,6495
20260623111600,2017000,2018000,2003000,2004000,6891
20260623111700,2004000,2004000,1992000,1994000,5926
20260623111800,1994000,2006000,1994000,2005000,2930
20260623111900,2005000,2005000,1999000,2001000,3250
20260623112000,2001000,2005000,2000000,2003000,2576
20260623112100,2003000,2010000,2000000,2007000,3854
20260623112200,2007000,2007000,1997000,2001000,5117
20260623112300,2001000,2003000,1999000,1999000,2531
20260623112400,1999000,2004000,1997000,1999000,5278
20260623112500,1999000,2007000,1998000,2002000,2145
20260623112600,2003000,2003000,1997000,2000000,3049
20260623112700,2000000,2011000,1999000,2008000,3949
20260623112800,2008000,2013000,2003000,2008000,4545
20260623112900,2007000,2009000,2002000,2004000,2663
20260623113000,2004000,2005000,1999000,2000000,3819
20260623113100,2000000,2002000,1998000,2000000,2052
20260623113200,1999500,1999500,1995000,1995000,4480
20260623113300,1995000,2000000,1995000,1999000,2004
20260623113400,2000000,2003000,1997000,1998000,1833
20260623113500,1997000,2000000,1994000,1995000,2274
20260623113600,1994000,1996000,1993000,1994000,2981
20260623113700,1994000,1997000,1990000,1996000,4387
20260623113800,1996000,1998000,1990000,1991000,2744
20260623113900,1991000,1991000,1971000,1972000,9624
20260623114000,1972000,1990000,1961000,1980000,9462
20260623114100,1981000,1983000,1972000,1982000,2596
20260623114200,1982000,1986000,1976000,1979000,2821
20260623114300,1978000,1981000,1974000,1976000,2004
20260623114400,1977000,2000000,1976000,1999000,3303
20260623114500,1999000,2011000,1981000,1991000,7142
20260623114600,1991000,1991000,1971000,1973000,6869
20260623114700,1972000,1973000,1965000,1965000,4197
20260623114800,1965000,1972000,1962000,1970000,6328
20260623114900,1970000,1990000,1969000,1978000,4398
