cntr_tm,open,high,low,close,volume
20260623105900,141975,141975,141560,141620,66682
20260623110000,141690,142040,141510,141550,117489
20260623110100,141530,141570,141100,141240,156369
20260623110200,141270,141370,141055,141220,103717
20260623110300,141220,141660,141025,141645,99208
20260623110400,141660,142030,141445,141815,102951
20260623110500,141810,141835,141155,141230,70098
20260623110600,141205,141430,141015,141030,53162
20260623110700,141030,141485,141000,141130,162973
20260623110800,141160,141340,141020,141175,47210
20260623110900,141165,141350,141025,141300,43114
20260623111000,141310,141785,141250,141385,34420
20260623111100,141380,141750,141200,141750,40457
20260623111200,141745,142125,141590,142015,42973
20260623111300,142000,142185,141805,141830,40490
20260623111400,141915,142145,141750,141960,43319
20260623111500,141985,142185,141905,142165,38943
20260623111600,142157,142170,141460,141510,168130
20260623111700,141535,141660,141200,141330,67399
20260623111800,141360,141750,141300,141695,36997
20260623111900,141700,141925,141555,141730,21279
20260623112000,141775,141870,141650,141840,33705
20260623112100,141845,142200,141600,142095,39252
20260623112200,142095,142095,141725,141840,29922
20260623112300,141850,141895,141725,141880,23463
20260623112400,141850,142000,141567,141730,75882
20260623112500,141730,142040,141730,141825,42663
20260623112600,141825,141925,141685,141925,55656
20260623112700,141925,142330,141890,142160,22248
20260623112800,142175,142300,141990,142145,163399
20260623112900,142185,142375,141965,142080,136491
20260623113000,142080,142165,141850,141885,113493
20260623113100,141885,141950,141725,141775,74018
20260623113200,141770,141785,141575,141650,77687
20260623113300,141635,141730,141535,141730,69755
20260623113400,141730,141840,141530,141580,41103
20260623113500,141580,141850,141530,141680,38318
20260623113600,141665,141765,141605,141630,55983
20260623113700,141650,141815,141485,141790,66202
20260623113800,141790,141790,141460,141500,52277
20260623113900,141495,141500,141130,141195,75675
20260623114000,141220,141570,141005,141490,125877
20260623114100,141475,141555,141325,141500,56326
20260623114200,141500,141595,141135,141250,23396
20260623114300,141190,141210,141010,141080,20239
20260623114400,141095,141685,141060,141635,73970
20260623114500,141665,142250,141605,141825,99295
20260623114600,141795,141810,141040,141110,89681
20260623114700,141122,141122,140810,140820,109590
20260623114800,140835,141315,140835,141185,52077
20260623114900,141185,141665,141140,141540,29475
20260623115000,141560,141845,141420,141785,62898
20260623115100,141790,142220,141785,142115,41006
20260623115200,142100,142700,142090,142655,36589
20260623115300,142635,142725,142415,142600,59849
20260623115400,142625,142625,142305,142380,36631
20260623115500,142335,142470,142255,142315,29875
20260623115600,142355,142745,142345,142620,49957
20260623115700,142615,142730,142215,142260,75014
20260623115800,142260,142260,141925,141960,207254
20260623115900,141965,142055,141780,141920,147483
20260623120000,141925,142100,141475,141485,46898
20260623120100,141485,141540,141285,141415,145228
20260623120200,141415,141460,141010,141275,82437
20260623120300,141275,141475,141160,141190,54580
20260623120400,141225,141325,141145,141165,21221
20260623120500,141165,141170,140940,141025,28419
20260623120600,141010,141045,140730,140905,93212
20260623120700,140905,141085,140875,140985,30161
20260623120800,140970,140975,140730,140740,67814
20260623120900,140740,140750,140515,140580,128891
