cntr_tm,open,high,low,close,volume
20260623105900,743500,743500,738000,741000,2204
20260623110000,741000,743000,740000,741000,976
20260623110100,742000,742000,736000,741000,3582
20260623110200,741000,742000,740000,740000,977
20260623110300,741000,744000,740000,742000,1317
20260623110400,742000,747000,740000,745000,2034
20260623110500,745000,746000,739000,740000,1818
20260623110600,740000,742000,736000,737000,2350
20260623110700,737000,741000,737000,739000,2121
20260623110800,739500,742000,739000,741000,761
20260623110900,742000,742000,739000,739000,1516
20260623111000,740000,745000,739000,740000,1138
20260623111100,740000,743000,740000,742000,827
20260623111200,742000,747000,742000,747000,1280
20260623111300,746000,747000,744000,745000,1924
20260623111400,745000,746000,739000,739000,2809
20260623111500,739000,745000,739000,741000,1882
20260623111600,740000,742000,738000,739000,2328
20260623111700,739000,740000,736000,736000,2232
20260623111800,737000,738000,736000,737000,917
20260623111900,738000,739000,735000,735000,1686
20260623112000,736000,736000,734000,736000,2734
20260623112100,735000,739000,735000,739000,1086
20260623112200,738000,739000,734000,734000,1311
20260623112300,735000,736000,732000,733000,1437
20260623112400,734000,734000,731000,733000,1217
20260623112500,734000,737000,733000,735000,835
20260623112600,736000,737000,734000,735000,644
20260623112700,735000,740000,734000,737000,766
20260623112800,737000,740000,736000,738000,1061
20260623112900,737500,739000,735000,735000,884
20260623113000,736000,737000,734000,734000,1232
20260623113100,734500,736000,734000,736000,700
20260623113200,735500,736000,734000,734000,1020
20260623113300,735000,736000,733000,735000,816
20260623113400,735000,738000,735000,737500,433
20260623113500,737500,738000,736000,737000,504
20260623113600,737000,739000,737000,738000,462
20260623113700,738000,739000,735000,735000,626
20260623113800,735000,736000,734000,734000,529
20260623113900,735000,735000,727000,731000,4241
20260623114000,732000,734000,730000,733000,1095
20260623114100,733000,735000,731000,735000,1024
20260623114200,735000,738000,733000,738000,773
20260623114300,738000,740000,737000,738000,530
20260623114400,737000,743000,737000,742000,896
20260623114500,743000,747000,737000,740000,2282
20260623114600,740000,741000,736000,740000,956
20260623114700,739000,740000,737000,738000,397
20260623114800,737000,741000,736000,740000,1317
20260623114900,740000,745000,740000,743000,864
20260623115000,743000,745000,742000,745000,736
20260623115100,745000,747000,744000,747000,910
20260623115200,747000,752000,746000,750000,1572
20260623115300,750000,754000,750000,754000,1229
20260623115400,754000,755000,749000,751000,1606
20260623115500,750000,753000,749000,750500,773
20260623115600,751000,752000,750000,751000,779
20260623115700,751000,754000,749000,750000,1866
20260623115800,750000,750000,746000,748000,655
20260623115900,747000,749000,746000,749000,422
20260623120000,748000,749000,747000,747000,884
20260623120100,747000,747000,741000,743000,1101
20260623120200,742500,744000,741000,742000,527
20260623120300,743000,744000,742000,744000,457
20260623120400,743000,744000,742000,742000,825
20260623120500,743000,745000,740000,743000,761
20260623120600,743000,744000,740000,740000,864
20260623120700,741000,742000,740000,741000,590
20260623120800,741000,743000,740000,742000,601
20260623120900,742000,742000,739000,739000,1208
